test_year,n_train,n_test,defaults,gini,gini_sd,pr_auc,top_decile
2012,35845,3485,26,0.8775857851313187,0.009916286170801166,0.3153298121453391,0.8461538461538461
2013,39330,3484,28,0.8193741732804233,0.008971655920332096,0.13772864318192596,0.75
2014,42814,3504,33,0.836113948473499,0.006102545442761816,0.18064154448120845,0.7696969696969698
2015,46318,3354,33,0.8732364293339904,0.01111525023689732,0.36699938506668894,0.8
2016,49672,3191,29,0.7601605269471527,0.0139114866418581,0.2748513083675027,0.6827586206896552
2017,52863,3014,21,0.851666587115969,0.01035564277490814,0.2003844780960487,0.7809523809523808
2018,55877,2723,36,0.828259521151222,0.004209349350499359,0.2835787849225121,0.7555555555555555
