category,obligor_years,defaults,mean_pd,observed,ci_lo,ci_hi,share_of_book,pd_in_ci
AAA,8,0,4.319383076469813e-05,0.0,0.0,0.3244156195108769,0.00035157108327840036,True
AA,176,0,0.00027928565646777423,0.0,1.734723475976807e-18,0.021361019919751596,0.007734563832124808,True
A,6494,1,0.0008271003439439357,0.0001539882968894364,2.7182533537169033e-05,0.0008718236841582576,0.2853878268512415,True
BBB,9194,15,0.002178054596991675,0.001631498803567544,0.0009889834920819981,0.00269031448582621,0.4040430674577016,True
BB,3921,21,0.007465859293526016,0.005355776587605203,0.00350572453314735,0.008174135362344993,0.17231377719182597,True
B,2084,48,0.02634247230795585,0.023032629558541268,0.01741610623019201,0.03040437976836267,0.0915842671940233,True
CCC-C,878,121,0.09933243040449294,0.1378132118451025,0.11658503970535439,0.16219700006233184,0.03858492638980444,False
